Geneid	male_24m_2	male_24m_1	male_3m_5	male_24m_7	male_3m_6	male_3m_3	male_24m_4
ENSMUSG00000025935	803	1900	2158	3990	3188	408	1390
ENSMUSG00000120948	2	9	7	5	3	3	0
ENSMUSG00000131318	4	1	0	0	0	2	1
ENSMUSG00000025937	96	206	172	314	272	59	198
ENSMUSG00000102982	10	8	9	4	14	19	18
ENSMUSG00000067813	18	2	17	21	6	19	33
ENSMUSG00000077368	0	0	5	0	0	0	0
ENSMUSG00000097711	3	6	11	2	8	6	13
ENSMUSG00000134219	32	25	33	11	12	16	42
ENSMUSG00000102166	11	13	32	3	5	16	30
ENSMUSG00002075174	0	2	1	0	3	4	7
ENSMUSG00000104209	16	4	23	6	3	15	9
ENSMUSG00000025932	52	154	161	106	152	79	142
ENSMUSG00002075819	0	0	0	0	0	0	0
ENSMUSG00000102588	1	3	3	3	0	0	11
ENSMUSG00000127312	6	5	27	7	4	12	23
ENSMUSG00000127278	10	13	13	7	3	14	25
ENSMUSG00000140763	4	2	9	0	4	6	10
ENSMUSG00000140464	2	4	16	1	2	2	12
ENSMUSG00000134469	0	0	3	0	0	1	2
ENSMUSG00000054493	22	32	40	9	7	24	28
ENSMUSG00000025930	20	16	10	17	7	2	11
ENSMUSG00000103492	21	24	54	6	12	25	55
ENSMUSG00000081201	0	0	0	1	1	1	1
ENSMUSG00000082193	3	14	12	2	2	3	8
ENSMUSG00000032769	25	48	57	51	9	17	53
ENSMUSG00000088159	0	0	1	0	0	1	0
ENSMUSG00000125466	11	9	12	6	9	20	14
ENSMUSG00000073737	0	8	1	0	0	1	4
ENSMUSG00000092083	87	63	139	50	87	140	168
ENSMUSG00000128216	2	7	6	0	0	1	5
ENSMUSG00000102937	9	19	24	6	16	17	10
ENSMUSG00000104149	19	10	12	6	4	7	20
ENSMUSG00000137925	15	11	27	7	2	27	25
ENSMUSG00000088829	2	0	1	0	0	0	0
ENSMUSG00000132707	3	0	4	0	2	0	2
ENSMUSG00000077377	2	0	2	0	0	0	0
ENSMUSG00000101652	1	0	0	0	2	3	3
ENSMUSG00000100814	3	0	7	1	0	0	2
ENSMUSG00000132745	14	4	19	4	10	4	12
ENSMUSG00000132786	2	0	4	2	6	1	7
ENSMUSG00000025925	95	218	206	327	255	89	172
ENSMUSG00000104379	2	8	11	0	7	7	13
ENSMUSG00000032719	1	29	2	1	5	0	3
ENSMUSG00002076565	1	4	1	0	6	2	6
ENSMUSG00000137819	2	2	4	1	5	4	3
ENSMUSG00000100652	3	1	1	5	8	2	11
ENSMUSG00000067795	7	3	7	2	5	11	10
ENSMUSG00000136711	5	3	0	0	6	5	3
ENSMUSG00000043716	402	1159	728	1813	1498	246	758
ENSMUSG00000025921	53	105	104	140	116	36	91
ENSMUSG00000132226	4	0	1	4	8	0	10
ENSMUSG00000104165	15	10	19	4	9	19	13
ENSMUSG00000100868	3	6	7	0	5	12	1
ENSMUSG00000025920	87	199	93	203	146	74	178
ENSMUSG00000089982	5	8	24	5	4	12	10
ENSMUSG00000025939	105	192	283	376	365	133	182
ENSMUSG00000102457	0	5	4	7	8	7	9
