baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene_name
ENSMUSG00000074896	212.509570877986	0.782817486933767	0.107034407097623	7.31369947441091	2.59886033941484e-13	3.49522427236909e-12	Ifit3
ENSMUSG00000124246	181.84811178213	0.91845501026832	0.111641033375263	8.22685873195999	1.92186894791902e-16	3.54572501218317e-15	ENSMUSG00000124246
ENSMUSG00000114267	507.577216745438	6.88820728572133	0.385304986608133	17.8772855922751	1.77259468907351e-71	2.55085238731124e-68	Gm48600
ENSMUSG000000254516	1915.79715815551	1.10593674953256	0.0710256916387813	15.5709395292773	1.14709840439531e-54	5.07917525798484e-52	Paip1
ENSMUSG00000021730	671.277153221108	1.03534306581716	0.0880057687856771	11.7644908976201	5.94840820444264e-32	4.47000356480584e-30	Hcn1
ENSMUSG00000118537	52.0840042028957	0.94309974909137	0.1340096790475	7.037549494892	1.95650049553788e-12	2.40950110235668e-11	Shld3
ENSMUSG000000216436	218.976677200432	0.644925858558644	0.0834222530046319	7.73086119506788	1.06821447797026e-14	1.65826757769482e-13	Serf1
ENSMUSG00000097027	169.736095816386	1.02400438497167	0.105986800873759	9.66162179186228	4.38860507251276e-22	1.3669744869263e-20	Gm26559
ENSMUSG00000052727	22444.6313557332	0.659275298478238	0.0456952221063547	14.4276637269382	3.46624741909834e-47	9.15248320817149e-45	Map1b
ENSMUSG000000418175	816.219702956617	0.654730426332115	0.0760137143644343	8.61331973850306	7.09747876955302e-18	1.5042160269993e-16	Fam169a
ENSMUSG000000450343	115.313003417739	0.871051744745231	0.106433921144135	8.18396743614883	2.74648324113236e-16	4.99978078197536e-15	Ankrd34b
ENSMUSG000000216154	170.138344716964	0.604994144022684	0.08102861612105	7.46642572691693	8.24024498539261e-14	1.16313139246976e-12	Xrcc4
ENSMUSG000000215481	1178.40394057578	0.521110428686129	0.0547337540006865	9.52082381704702	1.71811560791482e-21	5.12957316508263e-20	Ccnh
ENSMUSG000000215370	1297.5077623242	0.834102727919588	0.0578339561154201	14.4223702465547	3.74265269907161e-47	9.79248066654363e-45	Cetn3
ENSMUSG00000035840	240.884853902048	0.58601523474729	0.074447668541668	7.87150553169171	3.50398647574217e-15	5.70086120736774e-14	Lysmd3
ENSMUSG000000215977	245.601598032698	0.698003272768586	0.0622943680860113	11.2049177833353	3.857117203894e-29	2.24266040899542e-27	Slf1
ENSMUSG00000122926	10.9484519364136	2.76288083928759	0.381232220590219	7.24723853353772	4.25354493254932e-13	5.60024138626267e-12	ENSMUSG00000122926
ENSMUSG00000021520	2298.61349505559	0.709517818318711	0.0616234288345592	11.513767275488	1.12456173514674e-30	7.42339708698588e-29	Uqcrb
ENSMUSG00000021552	90.9149412075013	1.02116863403383	0.116885127257926	8.73651471312042	2.40412607412244e-18	5.34310058218671e-17	Gkap1
ENSMUSG000000159376	504.52059734275	0.711616824463137	0.0925572681242147	7.6883948595817	1.48992382594744e-14	2.27246940299911e-13	Macroh2a1
ENSMUSG00000069227	605.221919106149	2.19979072773046	0.268141622236856	8.20383911076414	2.32829652801238e-16	4.27091793325203e-15	Gprin1
ENSMUSG000000468767	2070.61006004506	0.702424577825712	0.0520090474267184	13.505815095257	1.44505497055273e-41	2.46095426671469e-39	Atxn1
ENSMUSG00000063200	648.500140910481	0.611732100689657	0.074264432838643	8.23721500733452	1.7626555184425e-16	3.26874925749314e-15	Nol7
ENSMUSG00000001707	614.799124819128	0.536394777097485	0.046127780567845	11.6284540572802	2.95398852552167e-31	2.06858257306665e-29	Eef1e1
ENSMUSG000000416583	358.801406105707	1.26249198417932	0.121790379660754	10.3661059904401	3.53643403190934e-25	1.42952398697167e-23	Rragb
ENSMUSG00000050295	22.7709260567403	2.03767144237107	0.259204071570248	7.86126325110148	3.8027862644381e-15	6.16608402686158e-14	Foxc1
ENSMUSG00000051627	46.9961081166483	1.64312988288438	0.217775602327564	7.54505952605698	4.52080960658055e-14	6.54880863512447e-13	H1f4
ENSMUSG000000124290	232.445684988519	0.684142352384789	0.080979841882534	8.44830437403395	2.95563994357347e-17	5.8910161506917e-16	Mplkip
ENSMUSG00000121570	123.702840161105	10.4973757795031	0.662581348672224	15.843150128719	1.56766705170131e-56	8.67673565673373e-54	ENSMUSG00000121570
