gene_id	SRR9126859	SRR9126934	SRR9127063	SRR9127293	SRR9127308	SRR9127357	SRR9127396
ENSMUSG00000000787.13	6.634715	10.482091	10.332657	16.892972	14.806874	2.463709	9.675754
ENSMUSG00000000791.10	0.629009	0.261896	0.8433	1.064467	0.879809	0.175125	1.370567
ENSMUSG00000000792.3	0.240063	0.04023	0.191151	0.052818	0.101397	0.038099	0.157116
ENSMUSG00000000794.10	0.211523	0.097615	0.270759	0.100123	0.238661	0.088594	0.213624
ENSMUSG00000000804.15	3.393453	2.482396	4.336568	7.870136	6.500056	1.685551	5.479807
ENSMUSG00000000805.19	0.982358	0	0.214672	0.42499	0	0	1.192918
ENSMUSG00000000811.15	0	0.496965	0.047153	0.289695	0.250738	0	0.333607
ENSMUSG00000000817.11	0.54852	0.307455	0.457327	1.021398	0.239206	0.429161	0.463107
ENSMUSG00000000823.17	2.415294	4.558512	2.852233	7.358798	6.816989	0.637864	5.255999
ENSMUSG00000000826.17	5.146242	10.151275	9.348218	16.329459	16.105723	1.169862	8.549032
ENSMUSG00000000827.19	5.722579	9.276186	5.881994	12.980313	7.254219	2.09983	7.154092
ENSMUSG00000000838.18	6.716723	8.461074	7.4371	6.417994	11.066714	2.037836	5.281906
ENSMUSG00000000861.16	2.284914	2.25895	4.100614	4.8934	4.348051	1.245383	3.868603
ENSMUSG00000000869.13	1.030321	0	0.78826	1.467634	1.355698	0.189814	0.799291
ENSMUSG00000000876.12	1.563098	1.991669	0.919039	1.800633	3.249851	0.237692	1.900158
ENSMUSG00000000881.13	0.059528	0.16502	0.724357	0.980586	0.10307	0.602801	0.343904
ENSMUSG00000000884.18	0.386355	1.929309	2.120574	1.357803	2.171421	0.289495	2.656901
ENSMUSG00000000889.9	0.958553	0.758068	0.207009	0.077572	0.051104	0.022245	0.055304
ENSMUSG00000000901.18	0.359538	0.142158	0.274948	0.494096	0.880529	0.092355	0.735506
ENSMUSG00000000902.14	4.609449	8.239751	5.893994	14.345705	9.935944	0.757122	7.430489
ENSMUSG00000000903.4	5.158772	9.493175	20.354786	8.003829	31.532125	3.674867	5.25985
ENSMUSG00000000915.16	2.083914	0.228925	0.873177	1.213386	2.905758	0.326337	0.344151
ENSMUSG00000000916.16	1.422788	2.425262	0.855854	1.387665	1.558324	1.678624	1.396589
ENSMUSG00000000934.10	0.516712	1.498449	0.319899	1.40013	1.101034	0.140889	0.762802
ENSMUSG00000000938.12	0.991835	2.151018	1.250837	1.26862	2.270656	0.378887	0.863632
ENSMUSG00000000942.11	0.122859	0.112723	0	0.139938	0.308834	0	0.099038
ENSMUSG00000000948.17	1.464738	2.00083	2.202964	0.488993	1.193952	0.547109	2.456485
ENSMUSG00000000957.12	15.333944	34.014233	23.663222	22.824687	44.960338	5.63961	22.235512
ENSMUSG00000000958.11	3.330581	3.914513	4.526736	5.169995	4.148209	0.430374	2.778651
ENSMUSG00000000959.8	3.783	7.813736	5.667954	8.586089	8.264419	1.052305	5.74313
ENSMUSG00000000976.14	2.464226	4.089166	3.91866	4.783434	6.234433	0.830265	2.679797
ENSMUSG00000000982.6	0.88633	1.236705	0.605491	1.254502	0.6527	0.58907	0.841156
ENSMUSG00000000983.14	1.035355	0.188435	0.891901	0.635212	0.286923	0.081805	0.638042
ENSMUSG00000001014.7	3.512245	5.583134	10.981977	16.184675	20.564812	1.779329	6.67325
ENSMUSG00000001016.13	6.807172	7.302768	8.112273	9.878655	9.055384	4.649239	12.1294
ENSMUSG00000001017.17	1.679577	2.679089	2.859032	2.959503	2.974207	0.29858	3.740555
ENSMUSG00000001018.16	10.099311	16.397926	11.670367	21.727055	19.165707	3.258185	12.874661
ENSMUSG00000001020.9	16.699814	28.075491	15.496392	30.820526	33.854856	6.182549	12.517896
ENSMUSG00000001021.14	0.506434	0.174145	0.108189	0.032448	0.322487	0	0.134887
ENSMUSG00000001023.11	0	0	0.45173	0	0.249509	0.268998	0.754627
ENSMUSG00000001025.9	63.626151	124.418734	35.794064	135.897275	102.087074	12.497483	58.313523
ENSMUSG00000001027.8	1.662568	3.183134	0.24697	2.897756	2.042515	0.118962	3.512169
ENSMUSG00000001029.16	1.05043	3.461518	1.157534	7.410923	6.601172	0.299624	3.927172
ENSMUSG00000001034.18	1.167956	2.319164	0.884775	2.947875	1.734214	0.616929	1.021053
