Geneid	male_4m_1	male_4m_2	male_4m_3	male_4m_4	male_4m_5	female_4m_1	female_4m_2	female_4m_3	female_4m_4	female_4m_5	male_18m_1	male_18m_2	male_18m_3	male_18m_4	male_18m_5	female_18m_1	female_18m_2	female_18m_3	female_18m_4	female_18m_5
ENSMUSG00000120920	27.415	32.185	53.65	30.009	20.909	29.451	24.065	28.493	34.236	41.203	46.179	41.456	44.093	25.568	23.348	34.449	36.76	27.631	42.532	36.581
ENSMUSG00000099257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000133432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG000000581536	3601	2771	4477	2898	2275	3578	1705	2596	3206	4351	1798	2117	2075	1541	1326	2073	2558	2063	2621	2226
ENSMUSG00000128700	0	1	0	0	0	2	1	1	1	0	0	1	2	0	1	1	0	0	0	1
ENSMUSG00000065096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000075405	13.63	13	22	14.477	12.367	18	13	10	5.654	17	8	11.814	10	16	8	11.05	12	14	17	14
ENSMUSG00000130040	6.842	9	16.819	12.96	13	14.823	6	9.299	12.677	12	5	7	10.715	14	6.159	7	11	4	11	15.675
ENSMUSG00000098132	29	20	61	22	18	18	23	22	30	39	13	20	20	16	18	7	19	18	31	30
ENSMUSG00000066235	861	718	1420	754.999	591	926	472	718	779	1070	558	658.999	618	426	478	546	760.999	611	877.001	761.001
ENSMUSG00000106766	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000081333	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000083613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000124924	1	0	2	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000108032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
