Geneid	WT_C_1	WT_C_2	WT_C_3	WT_T_1	WT_T_2	WT_T_3	KO_C_1	KO_C_2	KO_C_3	KO_T_1	KO_T_2	KO_T_3
ENSMUSG000000461017	79	52	99	63	60	55	127	59	97	81	80	74
ENSMUSG00000093178	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099032	1	1	2	12	5	11	3	2	3	3	0	2
ENSMUSG00000104025	2	2	0	4	0	4	2	0	1	0	0	0
ENSMUSG000000259161	1	1	2	1	0	12	1	1	2	0	2	2
ENSMUSG00000087199	1	2	1	3	7	7	2	2	1	1	0	0
ENSMUSG00000121270	2	2	5	11	10	12	11	9	2	3	3	4
ENSMUSG00000119658	1	1	2	1	0	5	2	0	0	0	0	0
ENSMUSG000000259170	1079	495	894	168	213	156	1384	913	1024	1269	1476	946
ENSMUSG000000567637	854	626	926	789	457	516	919	539	626	1209	1519	1656
ENSMUSG00000137212	15	11	8	9	10	19	5	6	13	11	12	5
ENSMUSG00000102356	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG000000678512	3331	2160	3221	1996	1349	1268	3421	2348	2504	3905	5366	5228
ENSMUSG00002076532	15	15	22	7	7	4	21	10	10	24	27	34
ENSMUSG00000102556	63	59	68	50	14	27	87	50	42	118	159	148
ENSMUSG00000127523	7	4	6	18	4	6	5	0	3	9	17	8
ENSMUSG00000123573	0	0	1	1	4	4	9	0	6	0	1	2
ENSMUSG000000425013	17	20	21	39	37	54	26	9	24	5	7	7
ENSMUSG00000103810	5	12	4	17	11	18	8	5	8	1	4	6
ENSMUSG00000130625	6	5	11	14	10	19	3	5	5	4	4	4
ENSMUSG00000083422	1	1	1	8	3	1	2	0	4	0	2	1
ENSMUSG00000119312	0	0	1	0	1	0	0	1	0	0	0	1
ENSMUSG00000137678	1	0	3	3	1	9	1	1	1	1	0	0
ENSMUSG00000081417	0	1	2	0	1	1	0	0	0	0	0	0
ENSMUSG00000103448	2	5	5	10	7	6	2	3	3	1	0	5
ENSMUSG00000100212	2	4	0	4	6	8	2	0	1	0	0	4
ENSMUSG00000125508	3	3	2	5	1	6	0	0	1	0	1	0
ENSMUSG00000100648	1	5	1	1	2	5	3	0	2	0	2	0
ENSMUSG00000130062	3	4	3	10	1	11	7	1	1	2	1	1
ENSMUSG00002076499	0	0	1	1	0	0	0	0	1	0	0	0
ENSMUSG000000489604	18	34	24	80	53	111	27	19	31	12	6	23
ENSMUSG00000127757	0	2	2	2	3	9	2	0	3	0	1	0
ENSMUSG00000127802	0	1	1	4	0	5	3	2	6	0	0	1
ENSMUSG00000077318	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101827	4	1	2	6	7	4	2	0	4	0	1	1
ENSMUSG00000122491	6	3	0	9	3	13	2	1	3	2	0	3
ENSMUSG00000103494	2	4	12	14	17	18	16	11	11	4	2	9
ENSMUSG00000143092	0	3	0	12	6	8	2	3	5	0	0	0
ENSMUSG000000577154	2	10	10	48	28	42	9	5	8	5	2	9
ENSMUSG00000103825	0	4	3	11	8	16	2	1	5	2	0	1
ENSMUSG00000099845	0	0	0	2	2	2	0	0	0	1	0	0
