Geneid	male_24m_2	male_24m_1	male_3m_5	male_24m_7	male_3m_6	male_3m_3	male_24m_4
ENSMUSG00000065559	0	0	0	0	0	0	0
ENSMUSG00000065480	0	0	0	0	0	0	0
ENSMUSG00000133531	7	1	7	0	5	1	14
ENSMUSG00000025929	0	1	1	1	0	2	1
ENSMUSG00000041872	14	4	18	2	11	8	26
ENSMUSG00000041859	510	1297	1912	3699	2940	423	1212
ENSMUSG00000099714	0	6	4	5	3	4	7
ENSMUSG00000102121	6	11	6	3	4	10	9
ENSMUSG00000088858	0	0	1	0	0	0	2
ENSMUSG00000097934	2	1	15	0	4	0	14
ENSMUSG00000025931	34	44	77	45	94	27	51
ENSMUSG00000077314	3	0	3	0	0	2	0
ENSMUSG00000133875	3	0	2	0	0	0	2
ENSMUSG00000100929	1	0	7	0	0	2	1
ENSMUSG00000041809	10	41	40	17	38	29	24
ENSMUSG00000041779	105	172	135	313	322	92	128
ENSMUSG00000137435	2	2	6	0	2	6	2
ENSMUSG00000099971	0	0	6	0	0	1	2
ENSMUSG00000129840	8	4	4	0	4	0	8
ENSMUSG00000100819	0	0	6	0	0	4	0
ENSMUSG00000129885	8	3	23	6	3	9	30
ENSMUSG00000099343	9	8	15	4	7	2	9
ENSMUSG00000025933	9	20	14	38	15	19	12
ENSMUSG00000102633	4	1	12	6	8	9	16
ENSMUSG00000025934	20	29	31	14	14	19	31
ENSMUSG00000138037	0	0	0	0	0	0	0
ENSMUSG00000096375	0	0	0	0	0	0	0
ENSMUSG00000121505	21	27	51	31	17	35	40
ENSMUSG00000025936	0	0	0	0	0	0	0
ENSMUSG00000141880	0	3	8	1	5	1	6
ENSMUSG00000093963	2	0	0	0	2	0	2
ENSMUSG00000141838	1	4	3	0	2	0	0
ENSMUSG00000067750	1	0	0	7	3	2	5
ENSMUSG00000086194	1	2	3	0	1	5	3
ENSMUSG00000141922	2	8	8	6	5	8	9
ENSMUSG00000094436	0	0	0	0	0	0	0
ENSMUSG00000041722	0	0	4	1	0	9	0
ENSMUSG00000085507	0	1	3	0	0	2	0
ENSMUSG00000094926	0	0	6	0	0	0	4
ENSMUSG00000085079	6	6	13	3	16	18	3
ENSMUSG00000129191	10	8	4	0	5	2	10
ENSMUSG00000085679	0	1	0	0	0	0	1
ENSMUSG00000028033	41	55	63	63	53	36	79
ENSMUSG00000104138	13	20	20	7	16	10	45
ENSMUSG00000128794	2	0	3	0	2	1	4
ENSMUSG00000082935	7	3	6	1	3	8	6
ENSMUSG00000103748	22	26	26	14	29	17	33
ENSMUSG00000124418	2	8	28	21	10	1	16
ENSMUSG00000123368	4	7	18	5	7	4	19
ENSMUSG00000099692	5	5	3	5	3	3	10
ENSMUSG00000140384	2	0	5	0	0	0	4
ENSMUSG00000124412	5	0	5	0	0	0	5
ENSMUSG00000100418	10	5	2	1	2	3	10
ENSMUSG00000128972	1	16	0	2	2	0	4
ENSMUSG00000135509	1	2	1	0	2	12	12
ENSMUSG00000041670	48	49	71	23	40	65	85
ENSMUSG00000097642	2	4	4	3	0	8	5
ENSMUSG00000131366	0	1	4	0	0	0	1
ENSMUSG00000141541	4	2	2	1	7	0	4
ENSMUSG00000128277	3	2	0	0	0	0	0
